kode_satker,nama_kementerian,provinsi,tipe_satker,jenis_belanja_utama,pagu_miliar,jumlah_pegawai,jumlah_spm,revisi_dipa,realisasi_tw1_persen,realisasi_tw2_persen,realisasi_tw3_persen,deviasi_rpd_persen,skor_ikpa,realisasi_tercapai_95persen
SAT0001,Kementan,Jawa Tengah,Kantor Pusat,Belanja Modal,6.34,328,39,1,23.17,33.2,47.79,29.7,89.13,Tidak
SAT0002,Kementan,Aceh,Kantor Pusat,Bantuan Sosial,17.53,125,102,5,12.62,28.62,40.97,9.36,94.6,Ya
SAT0003,Kemenhan,Lampung,Kantor Pusat,Belanja Barang,7.7,122,34,1,25.73,48.66,61.97,10.2,71.25,Ya
SAT0004,Kemensos,Sumatera Utara,Tugas Pembantuan,Belanja Barang,4.19,260,120,1,12.04,41.52,51.56,2.37,84.94,Ya
SAT0005,Kemenag,Sumatera Barat,Tugas Pembantuan,Belanja Pegawai,66.93,485,12,1,26.82,53.76,78.13,13.28,90.68,Ya
SAT0006,Kemenhan,Aceh,Dekonsentrasi,Belanja Pegawai,217.79,260,154,1,7.81,18.28,42.93,7.83,77.57,Tidak
SAT0007,Kemenag,NTB,Dekonsentrasi,Belanja Modal,4.11,312,48,3,22.59,50.56,70.86,10.3,79.23,Tidak
SAT0008,Kemenag,DKI Jakarta,Kantor Daerah,Belanja Barang,43.29,468,190,0,18.52,44.18,57.41,25.04,88.41,Tidak
SAT0009,Kemenkeu,NTT,Tugas Pembantuan,Belanja Barang,10.09,322,40,2,7.41,33.02,44.69,28.06,96.94,Tidak
SAT0010,Kemenhan,Jawa Tengah,Kantor Pusat,Belanja Barang,12.28,127,81,4,11.05,30.21,40.59,5.57,94.3,Ya
SAT0011,Kemenag,NTB,Kantor Pusat,Belanja Modal,10.82,310,35,2,5.31,23.27,36.58,11.18,87.49,Tidak
SAT0012,Kemenhub,Sulawesi Selatan,Kantor Daerah,Belanja Barang,7.81,170,51,2,16.72,32.78,60.6,27.86,91.91,Ya
SAT0013,Kemenkeu,Jawa Tengah,Kantor Pusat,Belanja Pegawai,23.35,410,59,5,12.53,23.84,38.67,1.85,80.94,Ya
SAT0014,Kementan,Sumatera Utara,Kantor Daerah,Belanja Modal,8.13,207,110,0,19.96,34.52,51.61,2.77,89.23,Ya
SAT0015,Kemenkeu,Papua,Dekonsentrasi,Belanja Pegawai,30.47,269,194,5,12.43,27.36,39.47,4.88,83.99,Tidak
SAT0016,Kemendikbud,Jawa Barat,Tugas Pembantuan,Belanja Pegawai,20.74,157,162,0,12.5,32.18,46.63,17.86,75.7,Ya
SAT0017,Kemendikbud,Sumatera Barat,Kantor Daerah,Belanja Modal,16.54,249,125,0,23.58,48.53,68.91,4.51,91.05,Ya
SAT0018,Kemenag,Jawa Barat,Kantor Pusat,Bantuan Sosial,7.41,56,59,1,6.2,25.68,47.84,29.04,86.69,Tidak
SAT0019,Kemenhan,Lampung,Kantor Daerah,Bantuan Sosial,11.02,484,148,3,27.57,38.73,53.64,13.4,80.76,Tidak
SAT0020,Kementan,Sulawesi Selatan,Dekonsentrasi,Belanja Pegawai,54.53,408,16,1,26.31,55.47,66.62,15.05,97.34,Tidak
SAT0021,Kemenkeu,Sulawesi Selatan,Kantor Pusat,Bantuan Sosial,40.18,207,149,3,21.7,50.55,68.37,7.4,70.63,Ya
SAT0022,Kemenhan,Sumatera Barat,Dekonsentrasi,Belanja Barang,6.82,56,148,5,19.83,45.53,60.21,14.13,79.47,Tidak
